name;postal_code;latitude;longitude;department;department_code;region;country
BOURG EN BRESSE;1000;46.2051520382;5.24602125501;Ain;84;Auvergne-Rhône-Alpes;FR
BOURG EN BRESSE;1000;46.2051520382;5.24602125501;Ain;84;Auvergne-Rhône-Alpes;FR
BOURG ST CHRISTOPHE;1800;45.8861934456;5.14349196896;Ain;84;Auvergne-Rhône-Alpes;FR
BOURG ST CHRISTOPHE;1800;45.8861934456;5.14349196896;Ain;84;Auvergne-Rhône-Alpes;FR
BOYEUX ST JEROME;1640;46.0363677631;5.46322744717;Ain;84;Auvergne-Rhône-Alpes;FR
BOZ;1190;46.4051688134;4.9135797178;Ain;84;Auvergne-Rhône-Alpes;FR
BREGNIER CORDON;1300;45.6416854652;5.61653371;Ain;84;Auvergne-Rhône-Alpes;FR
BRENAZ;1260;45.9500082947;5.7371892334;Ain;84;Auvergne-Rhône-Alpes;FR
BRENOD;1110;46.0759940484;5.61418361314;Ain;84;Auvergne-Rhône-Alpes;FR
BRENS;1300;45.7135069062;5.68998154517;Ain;84;Auvergne-Rhône-Alpes;FR
BRESSOLLES;1360;45.869423064;5.1009428902;Ain;84;Auvergne-Rhône-Alpes;FR
BRESSOLLES;1360;45.869423064;5.1009428902;Ain;84;Auvergne-Rhône-Alpes;FR
BRION;1460;46.1686327301;5.54656422194;Ain;84;Auvergne-Rhône-Alpes;FR
BRIORD;1470;45.7708330939;5.48537461884;Ain;84;Auvergne-Rhône-Alpes;FR
BUELLAS;1310;46.2104135162;5.14487465017;Ain;84;Auvergne-Rhône-Alpes;FR
BUELLAS;1310;46.2104135162;5.14487465017;Ain;84;Auvergne-Rhône-Alpes;FR
LA BURBANCHE;1510;45.8598709332;5.54609714598;Ain;84;Auvergne-Rhône-Alpes;FR
CEIGNES;1430;46.1256533435;5.49457379202;Ain;84;Auvergne-Rhône-Alpes;FR
CERDON;1450;46.0720202633;5.47577586118;Ain;84;Auvergne-Rhône-Alpes;FR
CERTINES;1240;46.1337950959;5.26239539372;Ain;84;Auvergne-Rhône-Alpes;FR
CESSY;1170;46.315689376;6.0779844362;Ain;84;Auvergne-Rhône-Alpes;FR
CEYZERIAT;1250;46.1832170988;5.32007207542;Ain;84;Auvergne-Rhône-Alpes;FR
CEYZERIEU;1350;45.8335530148;5.71933090966;Ain;84;Auvergne-Rhône-Alpes;FR
CHALAMONT;1320;46.0076491739;5.16936568;Ain;84;Auvergne-Rhône-Alpes;FR
CHALEINS;1480;46.0340545373;4.79853838574;Ain;84;Auvergne-Rhône-Alpes;FR
CHALEY;1230;45.9533367734;5.53682505273;Ain;84;Auvergne-Rhône-Alpes;FR
CHALLES LA MONTAGNE;1450;46.1221539654;5.45755377201;Ain;84;Auvergne-Rhône-Alpes;FR
CHALLEX;1630;46.1768358327;5.97115092939;Ain;84;Auvergne-Rhône-Alpes;FR
CHAMPAGNE EN VALROMEY;1260;45.9316447397;5.69321890072;Ain;84;Auvergne-Rhône-Alpes;FR
CHAMPAGNE EN VALROMEY;1260;45.9316447397;5.69321890072;Ain;84;Auvergne-Rhône-Alpes;FR
CHAMPAGNE EN VALROMEY;1260;45.9316447397;5.69321890072;Ain;84;Auvergne-Rhône-Alpes;FR
CHAMPDOR CORCELLES;1110;46.0198844188;5.60008759722;Ain;84;Auvergne-Rhône-Alpes;FR
